,language,countries,endangerment,speakers,latitude,longitude
170,Gallurese,Italy,Definitely endangered,100000,40.8802,9.4482
171,Mapuche (Argentina),Argentina,Severely endangered,100000,-40.0791,-71.0156
172,Mehri,"Oman, Yemen",Definitely endangered,100000,16.5993,52.8057
173,Miskito (Nicaragua),Nicaragua,Vulnerable,100000,12.4001,-83.7332
174,Ordos,China,Definitely endangered,100000,39.1641,108.1054
175,Quechua of Northern Bolivia,Bolivia (Plurinational State of),Vulnerable,100000,-15.3649,-69.0518
176,Suba,"Kenya, United Republic of Tanzania",Vulnerable,100000,-0.9942,34.519
177,Garífuna (Honduras),Honduras,Vulnerable,98000,15.6754,-88.1476
178,Embera (Colombia),Colombia,Vulnerable,95000,6.1624,-76.8383
179,Kabui,India,Vulnerable,95000,24.7218,93.6584
180,Shughni,"Tajikistan, Afghanistan",Vulnerable,95000,37.4879,71.5374
181,Permyak,Russian Federation,Definitely endangered,94328,59.204,54.5361
182,Poqomchi',Guatemala,Vulnerable,92941,15.3757,-90.4288
183,Yimchungru,India,Vulnerable,92000,25.9629,94.9713
184,Nogay (Caucasus),Russian Federation,Definitely endangered,90020,43.8028,46.2744
185,Heiban,Sudan,Vulnerable,90000,10.8575,30.2371
186,Quichua (Cañar and Azuay),Ecuador,Severely endangered,90000,-2.6577,-78.8378
187,Mezquital Otomí,Mexico,Definitely endangered,88789,20.4831,-99.217
188,Eastern Mazahua,Mexico,Definitely endangered,88001,19.7129,-99.9515
189,Burushaski,Pakistan,Vulnerable,87000,35.909,74.2153
190,Central Otomí,Mexico,Definitely endangered,84593,19.4661,-99.5944
191,Chokri,India,Vulnerable,84000,25.8691,94.7131
192,Sangtam,India,Vulnerable,84000,26.6032,94.9603
193,Ixil (Guatemala),Guatemala,Vulnerable,83574,15.4849,-91.0358
194,Achi',Guatemala,Vulnerable,82640,15.0845,-90.4888
195,Yem,Ethiopia,Vulnerable,81613,7.6347,37.3205
196,Mao,India,Vulnerable,81000,25.5027,94.2681
